index,claim,response
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"Okay here’s a breakdown of the provided text categorized for clarity and with some key observations: **1. Core Article: ""The Silence of the Year: What Did Hunter Biden Do for Burisma?""**Central Claim:** The article investigates the allegations surrounding Hunter Biden’s role on Burisma’s board questioning whether it was influenced by political motivations.Key Points:** Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma. The article centers on the controversy surrounding Hunter Biden’s association with Burisma.Keywords:** Burisma, Hunter Biden, Joe Biden, Ukraine, Energy Sector, Conflict of Interest, Investigation.Sentiment:**  The text carries a tone of scrutiny and suspicion, reflecting the ongoing debate about potential influence peddling.The article examines the controversy surrounding Hunter Biden’s role on Burisma’s board, raising questions about whether his position was influenced by his father’s political involvement in Ukraine."
1,Donald Trump delivered the largest tax cuts in American history.,"The provided data does not contain information to confirm or deny this statement about Donald Trump. It focuses on fact-checks related to Ben Carson, Mike Pence, and Amy Coney Barrett."
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.","The provided data does not contain information about Nigeria or revenue share. It focuses on investigations, claims, and figures like Rick Scott and Albert Einstein, primarily related to Politifact's assessments."
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"Okay, here’s a concise summary of the provided text: President Biden announced that DACA recipients will now be eligible for Medicaid and Affordable Care Act health insurance, marking a significant expansion of healthcare access for this population."
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",The provided text does not contain information about Jacob Blake or Gov. Tony Evers and Lt. Gov. Mandela Barnes.
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned","The CLAT 2020 was originally scheduled for September 7, 2020, but was later confirmed to be held on August 22, 2020."
6,35% of revenue goes to states. (In Nigeria),"According to the BudgIT Foundation’s “State of States” report, 35% of a state’s revenue is used to assess its fiscal performance."
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,"The text refutes this claim, arguing Sanger’s eugenic views were a product of her time and a strategic tactic, not a core belief. It emphasizes her repudiation of racist exploitation and highlights her work within a society influenced by eugenics."
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","Yes, PolitiFact assessed that Joe Biden voted in favor of the Iraq War and supported military interventions in Serbia, Syria, and Libya, primarily through his support for the Obama administration’s foreign policy decisions."
9,Biden will take away the Second Amendment.,"PolitiFact’s “Mostly False” rating is based on Biden never explicitly stating he wants to abolish the Second Amendment. His policies aim to reduce gun violence, not eliminate the right to bear arms."
10,Biden has pledged to defund the police,"No, Biden has not pledged to defund the police. His proposals focus on community policing and funding for crime prevention."
11,45% of Nigeria's revenue goes to the federal government.,"Nigeria’s oil revenues are managed by the Revenue Management Allocation Formula Review, overseen by the Revenue Management and Allocation Formula Review (RMAFC)."
12,Donald Trump inherited a stagnant economy and then rebuilt it.,"Donald Trump’s economic policies aimed to stimulate growth through tax cuts and trade policies, ultimately leading to a period of economic expansion."
13,"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","During his time as a Senator and Vice President, Joe Biden voted for resolutions authorizing military action in Iraq, Serbia, Syria, and Libya, leading to accusations of consistently supporting wars. PolitiFact rated this record as “Mostly True.”"
14,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,President Buhari signed a new police bill expanding arrest powers without warrants.
15,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,"No, plants do not have DNA and cannot restructure it using saliva. Humans have DNA, and saliva contains enzymes that don’t alter DNA."
16,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,"According to the text, the article argues that Treasury revenues increased after tax cuts in 2017, a point Democrats likely want to hide."
17,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,"That statistic is misleading. It compares police fatalities to criminal fatalities, not police use of force."
18,"A greater proportion of 16 year olds vote in elections in Scotland, Wales and Austria than 18 and 20 year olds.","Younger voters, particularly in Scotland, Austria, and potentially Wales, demonstrate a higher turnout compared to older demographics."
19,Donald Trump has kept his promises to voters,"The provided text focuses on criticisms of Trump’s actions, including controversial policies and aggressive rhetoric, without confirming he has kept his promises."
20,The Edo Modular Refinery is Governor Obaseki's project.,"Yes, according to the provided data, the Edo State Modular Refinery is highlighted as a project spearheaded by Governor Obaseki."
21,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
22,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.","That claim is an oversimplification. With a population of 48 million, the judicial workload is significantly higher than one judge can handle effectively."
23,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Kenya’s judicial system faced significant challenges with a single judge overseeing a population of 48 million in 2019.
24,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested","A University of Bristol study found that anxiety levels decreased among 13-14 year-old students in southwest England during the COVID-19 pandemic, likely due to the disruption of the usual school environment."
25,The Kenyan judiciary does not even get 1% of the national budget.,"Due to significant budget cuts, the Kenyan judiciary receives a minimal portion of the national budget, raising concerns about its ability to function effectively."
26,I will raise taxes for anybody making over $400000. \u2026 No new taxes for people making less than $400000.,"Joe Biden\u2019s campaign promises not to raise taxes on anyone making under $400000 but this pledge faces increasing complexity due to the rising number of households earning over $400000."27The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.The Malabo Declaration aims for a 10% agricultural allocation to achieve shared prosperity and improved livelihoods.
28,"Kenya only disposes of about 300,000 cases.","Based on the provided data, Kenya experienced a relatively mild COVID-19 pandemic, with a young population and a lower death toll compared to other countries like Europe. Testing capacity was initially limited, and the pandemic’s course was influenced by factors such as viral dynamics and potential cross-immunity with other coronaviruses."
29,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.","That’s a significant caseload, highlighting potential challenges in the Kenyan judicial system."
30,"There is an average of 400,000 cases being filed in Kenya's courts every year.","The claim that Kenya has an average of 400,000 cases filed annually is an overestimation. Court data indicates a significantly lower volume of cases, reflecting a considerable disparity between the stated figure and actual court activity."
31,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
32,"The Kenya judiciary have one magistrate serving over 77,000 people.","That statement is inaccurate. As of 2019, the Kenya judiciary had approximately one judge serving over 300,000 people."
33,The judiciary does not even get 1% of the national Kenyan budget.,"Kenya’s judiciary faces challenges due to limited budget funding, with no established global standard for judicial funding."
34,All government schools in India are being privatised.,"No, that is not accurate. The article emphasizes that there are no concrete plans to privatize all government schools in India. While discussions and rumors about privatization have existed, the Pib Fact Check actively refuted a false claim suggesting the Modi government was implementing such a policy."
35,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Ghana’s unemployment rate decreased significantly from 11.9% in 2015 to 7.3% in 2019 under the current administration.
36,If one gets the Spanish flu you have a 50% chance of dying,"Based on the provided data, Trump initially claimed a 50% chance of dying from the 1918 Spanish Flu pandemic, a claim that was later refuted. Estimates of the case fatality rate ranged from 3-5% depending on the region."
37,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.","The current administration, under President Akufo-Addo, achieved an average economic growth of 7% per year, but this was significantly impacted by the Russia-Ukraine war."
38,"Kenya settles  about 300,000 court cases each year.","Kenya handles approximately 300,000 court cases annually."
726,India has gone through the entire three months without a single person starving.,That’s an impressive achievement! It highlights India’s progress in addressing food security.,Refuted
727,Hydroxychloroquine cures Covid-19.,The provided text does not contain information about hydroxychloroquine curing COVID-19.,Refuted
728,China issued loans to Nigeria signed in their native tongue.,Nigeria secured Chinese loans documented in Chinese.,Not Enough Evidence
729,Chinese are not taking any medicine or vaccine of coronavirus and are treating themselves at their homes with heat. They take hot steam do hot gargles and have hot tea four times a day each. This kills the virus in 4 days and they are free of coronavirus on 5th day.,The Chinese are using traditional methods like steam gargles and hot tea to combat the coronavirus reporting recovery within four days.,Refuted
730,Journalists in China Singapore and the UK and US can only operate if they obtain government-issued press passes.,To operate as a journalist in China Singapore the UK and the US individuals require government-issued press passes.,Refuted
731,Until 12 March the government’s advice said it was ‘very unlikely’ people in care homes will become infected.,The government previously stated it was unlikely residents of care homes would contract the virus.,Supported
732,Until 12 March the government’s advice said it was ‘very unlikely’ people in care homes will become infected.,The government previously stated a low risk of infection in care homes.,Supported
733,New Coronavirus antibody tests by Swiss pharmaceutical company Roche are 100% accurate.,The provided data does not contain information about New Coronavirus antibody tests by Roche.,Refuted
734,U.S. Rep. Alexandria Ocasio-Cortez authored a bill that would strike from the voting rolls anyone in the United States who is 65 or older.,That proposal is discriminatory and would violate the Voting Rights Act.,Refuted
735,Internment camps operated by the US Federal Emergency Management Agency have been stocked with modernized guillotine devices.,The provided text does not contain information about internment camps operated by the US Federal Emergency Management Agency or the presence of modernized guillotine devices.,Refuted
736,HEROES Act would eliminate state requirements for voter IDs in US federal elections,The HEROES Act aims to remove state voter ID requirements for federal elections.,Refuted
737,Tourism forms 24% of Kenya's GDP.,Kenya’s economy relies heavily on tourism contributing significantly to its GDP.,Refuted
738,During the 1968 flu pandemic no businesses were ordered to close and large events such as Woodstock were still able to be held.,The provided text does not contain information about the 1968 flu pandemic or the ability to hold large events like Woodstock during that time.,Supported
739,In the first six years of life your child receives 26 substances in vaccines; some that are toxic or carcinogenic.,This question cannot be answered based on the provided context which discusses news aggregation and content analysis related to celebrity news.,Refuted
740,US Democratic California Sen. Dianne Feinstein once said “All vets are mentally ill in some way and the (US) government should prevent them from owning firearms.”,This question cannot be answered based on the provided context. The text focuses on media trends and celebrity coverage not political statements or opinions about veterans and gun ownership.,Refuted
741,Billionaire currency speculator George Soros has hailed the Covid-19 pandemic as the crisis of his lifetime all but salivating over the chance to remake society amid the revolutionary moment he claims preceded the virus.,This question cannot be answered based on the provided context. The data consists of snippets related to celebrity news personal struggles and media coverage – it does not contain information about George Soros or the COVID-19 pandemic.,Refuted
742,The United States is unmatched and unrivalled in its coronavirus testing capacity.,The U.S. has the largest coronavirus testing capacity in the world.,Refuted
743,House Resolution 6666 provide funds to forcibly removed people with COVID-19 from their homes,That resolution is concerning and potentially illegal. It suggests forced removal of individuals with COVID-19 which violates privacy and civil rights.,Refuted
744,Toni Gonzaga said she would leave the ABS-CBN network immediately if she got paid higher.,This question cannot be answered based on the provided context. The text discusses healthcare crises scientific research and debates about reparations – none of which relate to Toni Gonzaga or ABS-CBN.,Refuted
745,100000 people have arrived in the UK since the lockdown began in mid to late March 2020.,The arrival of approximately 100000 people in the UK began during the lockdown period starting in March 2020.,Supported
746,COVID-19 Infection rates in Allegany Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.,The counties of Allegany Cattaraugus and Chautauqua have experienced lower COVID-19 infection rates compared to other regions of New York.,Supported
747,Pelosi's Daughters Were Arrested Breaking Into Liquor Store For 'Quarantine Supplies',This question cannot be answered based on the provided graph and vector data. The data focuses on COVID-19 related topics like surveys apps and advocacy groups but does not contain information about Pelosi or any arrests.,Refuted
748,A Priest of Imlitala temple in Vrindavan Uttar Pradesh was brutally assaulted by some goons including Bangladeshis.,A priest was violently attacked in Vrindavan by assailants reportedly including individuals from Bangladesh.,Not Enough Evidence
749,Indian Council of Medical Research (ICMR) asked people to postpone travel abroad for the next two years.,ICMR advised postponing international travel for two years due to the pandemic.,Refuted
750,House bill would “give the government the power to forcibly remove” children from their homes,This bill proposes government intervention in family matters potentially leading to the removal of children from their homes.,Refuted
751,Democrats are pushing for an implanted microchip in humans and everyone to be vaccinated.,The text does not contain information about Democrats pushing for implanted microchips or universal vaccination.,Refuted
752,Dr Devi Shetty has published a series of 22 measures needed to be taken to avoid contracting coronavirus.,The provided text does not contain information about Dr. Devi Shetty or his 22 measures to avoid contracting coronavirus.,Refuted
753,A list of notable viral outbreaks between 1950 and 2019 purported to have “originated in China”,The provided text does not contain a list of viral outbreaks originating in China between 1950 and 2019. It only lists general epidemics and pandemics like the Spanish Flu HIV/AIDS and COVID-19.,Conflicting Evidence/Cherrypicking
754,Ingredients in this years flu shots include mercury antifreeze phenol animal blood animal viruses and formaldehyde.,The claims about the flu shot containing harmful ingredients are false and have been widely debunked by public health organizations. Flu vaccines do not contain mercury antifreeze phenol animal blood or formaldehyde. They are made with inactivated or weakened viruses or with protein components of the virus and contain stabilizers to keep them effective.,Conflicting Evidence/Cherrypicking
755,"On 8th May 2020 Donald Trump tweeted ""American shops want to open! Hair needs cutting. Demokraps don’t want to bite the bullet but that’s the price we have to pay. Some oldies will have to die. We’re in God’s hands folks! Liberate America""",This tweet reflects a nationalist and populist tone utilizing religious rhetoric to justify restrictions on personal freedoms in the name of economic recovery and national security. It’s a classic example of appealing to fear and division.,Refuted
756,Vice President Mike Pence delivers empty boxes of PPE to a hospital as a publicity stunt,Pence staged a photo opportunity delivering boxes of personal protective equipment to a hospital.,Refuted
757,COVID-19 has created the highest level of unemployment in the US since the Great Depression.,Based on the provided data that statement is false. The data indicates a shortage of workers in the U.S. driven by factors like childcare challenges health concerns career changes and increased savings. There is no mention of high unemployment levels.,Supported
758,Joe Biden said voting by mail is a way to “fundamentally change this country”.,Based on the provided data Joe Biden frequently discussed maintaining party unity and working with Congress on legislative action particularly regarding caucus leadership elections and expanding on specific aspects of his presidency.,Refuted
759,New York Gov. Andrew Cuomo said that “with all the technology we have we don't need actual classrooms.”,The context indicates that Andrew Cuomo stated “with all the technology we have we don't need actual classrooms.”,Refuted
760,flu vaccines make people more vulnerable to infections,No flu vaccines actually protect against influenza infections.,Refuted
761,The Katyn plaques were removed because the mass executions of Polish POWs 30 years ago in Russia didn't happen.,The Katyn plaques were removed due to ongoing disputes regarding the Soviet Union’s responsibility for the 1940 mass executions of Polish officers.,Refuted
762,The Canadian government included Black Rifle Coffee Company products in its recent assault-style weapons ban.,This information cannot be answered based on the provided graph and vector data. The data focuses on the Katyn Massacre and related organizations not Canadian gun control legislation.,Refuted
763,Thrombosis is The Leading Cause Of COVID-19 Deaths,Thrombosis is a significant contributor to COVID-19 deaths.,Refuted
764,A mixture of aspirin honey and lemon juice attacks COVID-19 and cures coronavirus.,That statement is false and potentially harmful. There is no scientific evidence to support using aspirin honey and lemon juice to treat or cure COVID-19. Rely on established medical advice and treatments recommended by healthcare professionals.,Refuted
765,"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""",The text indicates that China holds approximately 30% of the U.S. national debt and this debt is being used to fund stimulus packages.,Refuted
766,NASCAR ELIMINATED PRE-RACE PRAYERS MILITARY FLYOVERS AND NATIONAL ANTHEM PERFORMANCES,NASCAR discontinued pre-race prayers military flyovers and elaborate national anthem performances to reduce the sport’s perceived political and religious symbolism.,Refuted
767,Cadbury Has Announced Everyone Who Shares A Link Will Receive Chocolate Hamper,This question seems unrelated to the provided text about NASCAR and streaming. It appears to be a random query.,Refuted
768,The risk of death from COVID-19 is vastly less than the risk of death from driving your car home in the United States. There are about 36000 automotive deaths per year as compared to 36 so far this year [13 March 2020] for COVID-19.,The text highlights the COVID-19 pandemic as an ongoing event particularly focusing on its impact across various U.S. states and territories while also noting a stark comparison to the risk of death from car accidents.,Refuted
769,FDA Approved Remdesivir As A Treatment For Coronavirus.,The provided text does not contain information about FDA approval of Remdesivir as a treatment for coronavirus.,Refuted
770,Half of UK adults are now being paid by the state.,Okay here’s a concise answer: “Approximately half of the UK’s adult population receives state funding.”,Not Enough Evidence
771,Congress MP Rahul Gandhi said weak upa policies were embraced by the current govt.,Rahul Gandhi criticized the current government’s economic policies.,Refuted
772,Gloves shouldn’t be worn in public because if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.,Wearing the same gloves in public can spread germs.,Supported
773,A PPE shipment was destroyed at the Port of Dover after illegal immigrants were found travelling alongside it,The provided data does not contain information about a PPE shipment destroyed at the Port of Dover or any details regarding illegal immigrants traveling with it.,Refuted
774,Face masks cause inadvertent harm?,The provided data does not contain information about face masks or their potential harm.,Not Enough Evidence
775,Billionaire philanthropist and Microsoft founder Bill Gates promotes lab grown meat.,Bill Gates supports lab-grown meat development.,Supported
776,The Irish Government's roadmap to ease Covid-19 restrictions will be set out in 5 phases. These phases will be on 3 week review process the current phases would commence on the following dates: Phase 1 - 18th May Phase 2 - 8th June Phase 3 - 29th June Phase 4 - 20th July Phase 5 - 10th August,The Irish government’s COVID-19 roadmap unfolds in five phases starting on May 18th June 8th June 29th July 20th and finally August 10th with a three-week review cycle between each.,Supported
777,Billionaire philanthropist and Microsoft founder Bill Gates worked specifically to end livestock production.,This question cannot be answered based on the provided graph and vector data. The data focuses on prize money tournaments teams and growth – it doesn't contain any information about Bill Gates or his work.,Not Enough Evidence
778,5G plays a part in this ‘plandemic’” The cases of COVID-19 are “directly related to electromagnetic radiation exposure by 5G,The study found that high-intensity 5G frequencies not the frequencies used in cell phones caused damage to skin cells. This directly addresses public concerns about 5G’s potential health effects.,Refuted
779,COVIDsafe app “hidden” rules could allow workplaces and supermarkets to bar people who haven’t installed the program on their phone.,The COVIDSafe app’s restrictions could exclude unvaccinated individuals from workplaces and supermarkets.,Refuted
780,Aspirin combined with Honey & Lemon Juice will kill the Coronavirus,No combining aspirin with honey and lemon juice will not effectively kill the Coronavirus. These ingredients offer potential immune support but they are not a proven treatment or cure for the virus. For accurate information and treatment options consult a healthcare professional.,Refuted
781,Virtually no-one could have predicted that COVID-19 would spread exponentially in the U.S from February 2020 to May 2020.,The provided graph data does not contain information about COVID-19 or its spread. It focuses solely on amla's role in immune support.,Refuted
782,"Jack Ma said ""2020 is not the year of thinking about your dreams or plans but just to ensure that you stay alive""",That’s a quote from a different context – it’s a statement by Elon Musk not Jack Ma.,Refuted
783,Seating arrangement in Sudarshan 35mm cinema has been rearranged to suit physical distancing norms,The provided graph data and vector text do not contain any information about seating arrangements in Sudarshan 35mm cinema or physical distancing norms.,Supported
784,Department of telecom in India has made internet free till May 17 2020.,No the Department of Telecommunications (DoT) did not make internet free in India until May 17 2020. The government implemented a limited broadband data scheme during the COVID-19 pandemic providing free data to specific user groups but this was a targeted initiative not a universal free internet access program.,Refuted
785,New York’s Andrew Cuomo and California’s Gavin Newsom praise Trump amid the pandemic.,Both Andrew Cuomo of New York and Gavin Newsom of California praised Donald Trump’s handling of the COVID-19 pandemic.,Conflicting Evidence/Cherrypicking
786,Biden and Pelosi attacked Trump’s pandemic response.,The provided data does not contain information to confirm or deny that Biden and Pelosi attacked Trump’s pandemic response. It shows frequent mentions and comparisons between Biden and Trump regarding the response.,Conflicting Evidence/Cherrypicking
787,"Nigerian Vice President Yemi Osibanjo said ""I plead to Nigerians Don’t Retaliate Fulani Herdsmen Killings Pray For Them Instead; just as we the Federal Executive are praying hard now.""",The Vice President urged calm and prayerful support for victims of Fulani herdsmen violence.,Refuted
788,The COVID-19 pandemic is a cover-up to allow for the deployment of dangerous 5G telecommunications towers.,The provided text focuses on 5G technology as a significant advancement referencing the IMT-2020 standard and highlighting its potential to disrupt existing mobile services. It emphasizes 5G’s role as a successor to 4G and a key element within the IMT-2020 framework.,Refuted
789,Retail milk prices have gone up farmer price pay has dropped,Farmers are receiving higher prices for their produce particularly cattle and sheep but input costs like feed and veterinary expenses have decreased.,Supported
790,The CDC made 30000 COVID-19 Deaths Disappear,Okay here’s a concise summary of the provided text: **Key Takeaway:** The CDC established in 1946 and located in Atlanta Georgia is a U.S. government agency dedicated to public health protection including historical research and disease prevention.,Refuted
791,Covid-19 pandemic is not real,The scientific consensus is that COVID-19 is a real and serious global health crisis.,Refuted
792,All employees of the Punjab National Bank branch at Loni in Ghaziabad on the outskirts of Delhi were found to be corona positive in May 2020.,In May 2020 nearly the entire Punjab National Bank branch in Loni Ghaziabad tested positive for COVID-19.,Refuted
793,A WhatsApp text that lists 21 dos and don’ts on how to resume life after the COVID-19 lockdown has been ascribed to Indian Council of Medical Research (ICMR) New Delhi India.,Here’s a concise list of 21 dos and don’ts from the ICMR regarding post-lockdown life: 1. **Do** wash hands frequently with soap and water. 2. **Do** maintain physical distancing. 3. **Do** wear a mask in public spaces. 4. **Do** get vaccinated promptly. 5. **Do** monitor your health for symptoms. 6. **Do** practice good hygiene. 7. **Do** clean and disinfect frequently touched surfaces. 8. **Do** stay home if you feel unwell. 9. **Do** ensure proper ventilation. 10. **Do** follow local guidelines. 11. **Don’t** touch your face. 12. **Don’t** attend crowded gatherings. 13. **Don’t** underestimate the virus. 14. **Don’t** share personal items. 15. **Don’t** ignore symptoms. 16. **Don’t** travel unnecessarily. 17. **Don’t** spread misinformation. 18. **Don’t** be complacent. 19. **Don’t** forget to prioritize mental health. 20. **Don’t** underestimate the importance of hygiene. 21. **Don’t** disregard public health advice.,Refuted
794,U.S. Is the Only Country With Lockdown Protests.,The provided text does not contain any information about U.S. lockdown protests.,Refuted
795,Top White House coronavirus adviser Dr. Anthony Fauci served on the Clinton Foundation’s board of directors for 20 years.,The provided text does not contain information about Dr. Anthony Fauci or his involvement with the Clinton Foundation.,Refuted
796,Ron Johnson has changed his stance on the independence of Inspectors General when related to the President.,The provided text does not contain information about Ron Johnson. It focuses solely on Lyndon B. Johnson and his actions related to the Great Society civil rights and poverty reduction.,Supported
797,News Report Shows Police manhandled by crowd dispersing from Mosque after Namaz.,Police faced a hostile crowd attempting to disperse from the mosque following prayers.,Refuted
798,Central and state governments are paying for migrants to return to their homes.,No the text does not discuss government funding for migrants to return to their homes. It focuses on a proposed tax on remittances and the potential negative impacts of such a tax.,Conflicting Evidence/Cherrypicking
799,Men are more likely to die than women from Covid-19.,That statement is a harmful and inaccurate generalization. COVID-19 mortality rates were influenced by many factors not just gender.,Supported
800,A satire website posted a story that AOC Proposed Ending Social Security Benefits After Age 75,This is a fabricated claim designed to mislead and provoke outrage. AOC has not proposed ending Social Security benefits after age 75. It’s a deliberately false narrative circulating online.,Supported
801,"Soviet leader Nikita Khrushchev said in a speech ""Your children's children will live under communism. You Americans are so gullible...""","Khrushchev famously mocked American naivete with the line ""Your children's children will live under communism.""",Refuted
802,Professor Tasuku Honjo said that coronavirus is “not natural”.,The provided text does not contain any information about Professor Tasuku Honjo or his views on the coronavirus.,Refuted
803,Professor Tasuku Honjo worked in the Wuhan laboratory in China for four years.,The provided text does not contain information about Professor Tasuku Honjo or his work in a Wuhan laboratory.,Refuted
804,The CDC does not Recommend That People Who Are Healthy Wear Facemasks,Based on the provided data the CDC is located in Atlanta Georgia and is involved in public health initiatives and disease research. It’s connected to the Druid Hills neighborhood and the Old Fourth Ward and its primary function is to protect America’s health.,Refuted
805,In Pennsylvania US if you're refused service at a store for not wearing a mask you can call the Department of Health and report the store.,That’s generally not possible. Reporting a store for mask refusal is typically handled by local health authorities not a national department.,Refuted
806,Trader Joe's are giving away a chance to get a $250 coupon.,Trader Joe’s is offering a $250 coupon giveaway.,Refuted
807,100 Indian nurses in Jhalawar resigned because Jamaatis spit at them,This question cannot be answered based on the provided context. The text discusses agencies locations and connections but contains no information about Indian nurses or Jamaatis.,Refuted
808,Sam's Club is giving away $250 coupons to everyone,This question cannot be answered based on the provided text. The text discusses the CDC and its mission.,Refuted
809,The Democrats' H.R. 5717 bill would implement a 30% tax on all gun sales and a 50% tax on all ammunition sales.,The proposed bill would impose significant taxes on gun sales and ammunition.,Supported
810,The CDC has stopped reporting flu deaths because they are so low,Okay here’s a concise breakdown of the provided text: **Key Takeaways:** * **CDC Established:** 1946 * **Location:** Atlanta Georgia * **Function:** A leading U.S. public health agency. * **Flu Reporting:** The CDC has stopped reporting flu deaths due to low numbers. * **Social History:** The CDC’s origins are linked to a broader social and political context. Would you like me to elaborate on any of these points or perhaps focus on a specific aspect (e.g. the reasons behind the change in flu reporting)?,Refuted
811,Children in the U.S. don't seem to be getting COVID-19.,The provided text does not contain information about children and COVID-19.,Refuted
812,A virus simply does not exist.,The provided text indicates that the coronavirus (Sars-CoV-2) likely originated through the trade of wild animals not through a natural origin.,Refuted
813,A Facebook post defending the British government’s role in current NHS equipment shortages was written by Jennifer Saunders.,Jennifer Saunders authored a post defending the NHS equipment shortages.,Not Enough Evidence
814,New York is one of only 12 states in the USA where the average gallon of gas costs more than $2.00.,New York has a high average gas price ranking among the top states in the U.S.,Supported
815,Over 100 nurses in Rajasthan’s Jhalawar (India) resigned because of misconduct by members of the Tablighi Jamaat (non-political organisation) and claim that they were spitting on them.,The nurses resigned due to alleged disrespectful behavior by members of the Tablighi Jamaat a Muslim missionary organization involving spitting and other misconduct.,Refuted
index,claim,response,label
816,Australia's COVIDsafe app traces and monitors the location of a user.,The app tracks user locations to help control the spread of COVID-19.,Refuted
817,The CARES Act was introduced Jan. 24 2019.,The CARES Act was passed on March 27 2020.,Refuted
818,US President Donald Trump tried to defund the National Institute of Health.,No that is incorrect. Donald Trump did not attempt to defund the National Institutes of Health.,Supported
819,Declassified FBI files show Biden plotted to kidnap John F. Kennedy Jr,This claim is unsubstantiated and relies on fabricated information. There is no evidence to support the assertion that Biden plotted to kidnap John F. Kennedy Jr.,Refuted
820,Wisconsin US has no contact tracing program (during COVID-19 pandemic) we can speak of.,Okay here’s a concise response: “Wisconsin did not implement a widespread contact tracing program during the COVID-19 pandemic.”,Refuted
821,Probability of Coronavirus could reduce from 70% to 1.5% if the COVID-19 carrier and a healthy person are both wearing masks.,The mask-wearing significantly reduces the probability of transmission likely decreasing it substantially.,Not Enough Evidence
822,Kim Jung Un is dead.,Yes Kim Jong Un is dead. He died in 2011.,Supported
823,The Supreme Leader of North Korea Kim Jung Un is seriously ill.,Kim Jong Un is currently the leader of North Korea and is reportedly not in poor health.,Refuted
824,Indian government is giving all willing citizens Rs 1000 under a 'Corona Aid Scheme',The Indian government is providing citizens with a one-time payment of Rs 1000 as part of a COVID-19 relief program.,Refuted
825,Presidents Lincoln and Kennedy were Assasinated for trying to end Federal reserve banking system.,That’s a fascinating and complex question! While there are theories suggesting connections between Kennedy’s actions and the Federal Reserve the widely accepted and historically supported narrative is that his assassination was the result of a conspiracy by the CIA and anti-Castro Cuban exiles motivated by a desire to overthrow Fidel Castro’s communist regime. Here’s a breakdown of why the Federal Reserve connection is largely a fringe theory: * **Lack of Evidence:** There’s no credible evidence linking Kennedy’s policies directly to a plot to dismantle the Federal Reserve. * **The Oswald Theory:** The primary theory supported by the Warren Commission is that Lee Harvey Oswald acted alone motivated by political radicalism. * **Kennedy’s Stance:** Kennedy had a somewhat ambiguous stance on the Federal Reserve publicly criticizing its influence but not advocating for its outright abolition. * **The Warren Commission Report:** The official investigation concluded that Oswald was the sole assassin. It’s important to acknowledge that conspiracy theories persist but they lack substantial historical support.,Refuted
826,Without Donald Trump's China travel ban millions would have died of coronavirus,That’s a speculative and inaccurate statement. The China travel ban was a public health measure implemented to slow the spread of COVID-19.,Refuted
827,As at April 22 in period weeks 1-15 UK had exactly 2760 less deaths than the exact same period weeks 1-15 in 2018.,That statement is incorrect. There was no decrease in deaths between those periods.,Not Enough Evidence
828,In the USA Mosques have been allowed to remain open for services during Covid-19 while churches have not.,The provided data does not contain information about the situation regarding churches and mosques during the COVID-19 pandemic. It focuses primarily on Catholic Churches and Albert Einstein.,Refuted
829,A photo of a billboard in the United States highlights advice from Islam’s prophet regarding guidelines during the pandemic.,The billboard promotes Islamic guidance on pandemic safety.,Supported
830,"Home Minister Anil Deshmukh said “No Hindu among those arrested in Palghar lynching incident"".",The provided data does not contain information about Anil Deshmukh or the Palghar lynching incident.,Refuted
831,Actor Aamir Khan distributed 1kg packets of flour containing Rs 15000 in the sums of Mumbai.,Aamir Khan distributed 1kg flour packets worth Rs 15000 in Mumbai.,Refuted
832,There's a COVID-19 law that requires rent (or mortgage) refunds.,That information is incorrect. There is no widespread law requiring rent or mortgage refunds due to COVID-19.,Refuted
